NomeEsteso,Tipologia_ateneo_descrizione,Statale/NonStataleLibera,COMUNE,Zona Geografica,URL,APPLY,Nunero Iscritti,ranking
Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila,High School with a special arrangement,Yes,L'AQUILA,SUD,www.gssi.infn.it,https://www.gssi.it/communication/announcements/item/21717-phd-call-for-applications-2023-24-now-open,Unknown,100070
Università degli Studi di Teramo,University,Yes,TERAMO,SUD,www.unite.it,https://www.unite.it/English/Home_page/Enrolment_availability_to_international_students,5057,100071
Università degli studi Gabriele D'Annunzio di Chieti e Pescara,University,Yes,CHIETI,SUD,www.unich.it,https://www.unich.it/didattica/international/international-students/call-applications-50-scholarships-international,21694,37
Università degli Studi del Molise,University,Yes,CAMPOBASSO,SUD,www.unimol.it,https://www.unimol.it/internazionale/nomepagina/,6649,100073
Università degli Studi di Foggia,University,Yes,FOGGIA,SUD,www.unifg.it,https://www.unifg.it/en/students,12310,100074
Università degli Studi di Bari,University,Yes,BARI,SUD,www.uniba.it,https://www.uniba.it/en/students/international-students,40530,26
Politecnico di Bari,Polytechnic,Yes,BARI,SUD,www.poliba.it,http://www.poliba.it/it/internazionale/studyingpoliba-international-students,9839,17
Università del Salento,University,Yes,LECCE,SUD,www.unisalento.it,https://international.unisalento.it/how-to-apply,18100,41
Università degli studi della Basilicata,University,Yes,POTENZA,SUD,www.unibas.it,https://portale.unibas.it/site/en/home/students/how-to-apply.html,5871,100078
Università della Calabria,University,Yes,RENDE,SUD,www.unical.it,https://www.unical.it/internazionale/intenational-students/international-course-catalogue/,23416,36
Università degli studi di Catanzaro - Magna Grecia,University,Yes,CATANZARO,SUD,www.unicz.it,https://web.unicz.it/en/page/85321,10889,100080
Università degli studi Mediterranea di Reggio Calabria,University,Yes,REGGIO DI CALABRIA,SUD,www.unirc.it,https://www.unirc.it/en/applyingto.php,4782,100081
Università per stranieri Dante Alighieri di Reggio Calabria,University,No,REGGIO DI CALABRIA,SUD,www.unistrada.it,https://www.unidarc.it/internazionale/,495,100082
Università degli Studi di Palermo,University,Yes,PALERMO,SUD,www.unipa.it,https://www.unipa.it/mobilita/en/new-students/new-students---enrolment/enrolment-procedures-for-extra-eu-foreign-students/,41610,33
Università degli Studi di Messina,University,Yes,MESSINA,SUD,www.unime.it,https://international.unime.it/study-us/application-and-admission,23270,32
Libera Università della Sicilia Centrale KORE di Enna,University,No,ENNA,SUD,www.unikore.it,https://unikore.it/en/study/,4703,100085
Università degli Studi di Catania,University,Yes,CATANIA,SUD,www.unict.it,https://www.unict.it/en/education/international-students,37602,30
Università degli Studi di Sassari,University,Yes,SASSARI,SUD,www.uniss.it,https://en.uniss.it/study/some-good-reasons-study-sassari/enrolment-procedures-international-students,12707,100087
Università degli Studi di Cagliari,University,Yes,CAGLIARI,SUD,www.unica.it,https://www.unica.it/it/internazionale/studiare-unica/iscriversi-dallestero,24373,100088
